metric;run;time_ms
keypair_generation;1;43.84879999997793
keypair_generation;2;433.3957000017108
keypair_generation;3;94.0292999985104
keypair_generation;4;65.7247000017378
keypair_generation;5;87.3275999983889
keypair_generation;6;59.79119999756222
keypair_generation;7;117.63649999920744
keypair_generation;8;101.74369999731425
keypair_generation;9;81.58230000117328
keypair_generation;10;91.48890000142273
keypair_generation;11;112.85370000041439
keypair_generation;12;36.80180000083055
keypair_generation;13;101.00299999976414
keypair_generation;14;73.77289999931236
keypair_generation;15;79.45070000278065
keypair_generation;16;69.33539999954519
keypair_generation;17;43.1845000020985
keypair_generation;18;161.26409999924363
keypair_generation;19;21.638700000039535
keypair_generation;20;210.64900000055786
signing;1;2.035299999988638
signing;2;1.7346999993606005
signing;3;1.5893000017968006
signing;4;1.6092999976535793
signing;5;1.6581000018049963
signing;6;1.7207000018970575
signing;7;1.5766999968036544
signing;8;1.7337000026600435
signing;9;1.6015000001061708
signing;10;1.827100000809878
signing;11;1.6079999986686744
signing;12;1.713400000880938
signing;13;1.6104000023915432
signing;14;1.8185000008088537
signing;15;1.7098999996960629
signing;16;1.602100001036888
signing;17;1.7387000007147435
signing;18;1.613699998415541
signing;19;1.5894999996817205
signing;20;1.610799998161383
